corpus_id,source_url,source_sha256,pdf_page,figure_id,caption,chart_family,recovery_objective,priority,review_status,downstream_alignment,notes
tfl6-mp11-pilot,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,82,Figure 2,Base Case Harvest Level,line_chart,recover projected base-case harvest flow by period,high,raw_extraction_candidate,femic-tfl6-instance#44; future comparison with Table 11 and P6.5 harvest-flow review,Good first line-chart target because the figure is central to MP11 base-case interpretation.
tfl6-mp11-pilot,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,83,Figure 3,Base Case THLB Growing Stock By 1-120 Years Old And 120+ Years Old Categories,multi_series_time_chart,recover growing-stock trajectories and category split,high,raw_extraction_candidate,femic-tfl6-instance#44; future comparison with P6.5 growing-stock review,Tests multi-series extraction and long-horizon stock trend capture.
tfl6-mp11-pilot,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,84,Figure 4,Base Case Harvest by Stand Eras,stacked_bar_or_area,recover harvest contribution by stand era through time,medium,raw_extraction_candidate,femic-tfl6-instance#44; future stand-era assumption review,Useful for testing stacked or grouped categorical time-series recovery.
tfl6-mp11-pilot,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,85,Figure 5,Base Case Harvest Level by Stand Seral Stages,stacked_bar_or_area,recover harvest level by seral-stage class,medium,raw_extraction_candidate,femic-tfl6-instance#44; future seral-stage harvest review,Tests categorical-series recovery where legend interpretation matters.
tfl6-mp11-pilot,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,86,Figure 6,"Base Case Age Class Distribution of Productive Forest Area (187,425 ha)",bar_chart,recover age-class distribution bins and hectares,high,raw_extraction_candidate,femic-tfl6-instance#44; future land-base and starting-inventory review,Good deterministic bar-chart target with direct model-state relevance.
tfl6-mp11-pilot,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,91,Figure 11,Base Case Harvest Statistics,mixed_bar_line,recover selected harvest-statistics series for QA against textual values,medium,raw_extraction_candidate,femic-tfl6-instance#44; future KPI extraction review,Useful mixed-chart stress test; may require manual series selection.
tfl6-mp11-pilot,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,98,Figure 16,Projection of Old Seral Forest Proportions for Holberg LU,line_chart,recover old-seral proportion trajectory and threshold relationship,high,raw_extraction_candidate,femic-tfl6-instance#44; future old-seral constraints review,Representative legal/landscape-unit indicator chart.
tfl6-mp11-pilot,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,99,Figure 17,Projection of Old Seral Forest Proportions for Keogh LU,line_chart,recover old-seral proportion trajectory and threshold relationship,medium,raw_extraction_candidate,femic-tfl6-instance#44; future old-seral constraints review,Same chart class as Figure 16 but separate LU.
tfl6-mp11-pilot,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,99,Figure 18,Projection of Old Seral Forest Proportions for Mahatta LU,line_chart,recover old-seral proportion trajectory and threshold relationship,medium,raw_extraction_candidate,femic-tfl6-instance#44; future old-seral constraints review,Shares PDF page with Figure 17 and tests multi-figure page handling.
tfl6-mp11-pilot,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,100,Figure 19,Projection of Old Seral Forest Proportions for Neroutsos LU,line_chart,recover old-seral proportion trajectory and threshold relationship,medium,raw_extraction_candidate,femic-tfl6-instance#44; future old-seral constraints review,Completes the initial old-seral LU mini-batch.
tfl6-mp11-pilot,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,103,Figure 21,Harvest Levels Maintaining Current AAC,line_chart,recover sensitivity harvest-flow trajectory relative to base case,high,raw_extraction_candidate,femic-tfl6-instance#44; future P6.5 scenario review,Useful scenario comparison target with related table on previous page.
tfl6-mp11-pilot,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,116,Figure 28,Examples of Implementing the Pienaar & Rheney Adjustment Formula,line_chart,recover example yield-adjustment curves for method documentation,medium,raw_extraction_candidate,femic-tfl6-instance#44; future yield-adjustment method review,Good technical-method chart for figrecover documentation and JOSS case-study narrative.
tfl6-mp11-pilot,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,123,Figure 32,Comparison of Harvest Scenarios: Base Case vs. Two Flows on ITI-Adjusted,line_chart,recover scenario comparison trajectories,high,raw_extraction_candidate,femic-tfl6-instance#44; future P6.5 scenario comparison review,Representative multi-scenario harvest-flow chart for pilot closeout.
